Sample,Fastq_path_R1,Fastq_path_R2,Treatment,Read1_Read2,Replicate,Timepoint
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_3h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_3h_R1_R2_001.fastq.gz,Dox,UTR_CDS,1,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_3h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_3h_R2_R2_001.fastq.gz,Dox,UTR_CDS,2,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_3h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_3h_R3_R2_001.fastq.gz,Dox,UTR_CDS,3,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_3h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_3h_R1_R2_001.fastq.gz,NoDox,UTR_CDS,1,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_3h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_3h_R2_R2_001.fastq.gz,NoDox,UTR_CDS,2,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_3h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_3h_R3_R2_001.fastq.gz,NoDox,UTR_CDS,3,3h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_8h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_8h_R1_R2_001.fastq.gz,Dox,UTR_CDS,1,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_8h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_8h_R2_R2_001.fastq.gz,Dox,UTR_CDS,2,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_8h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_8h_R3_R2_001.fastq.gz,Dox,UTR_CDS,3,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_8h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_8h_R1_R2_001.fastq.gz,NoDox,UTR_CDS,1,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_8h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_8h_R2_R2_001.fastq.gz,NoDox,UTR_CDS,2,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_8h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_8h_R3_R2_001.fastq.gz,NoDox,UTR_CDS,3,8h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_24h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_24h_R1_R2_001.fastq.gz,Dox,UTR_CDS,1,24h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_24h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_24h_R2_R2_001.fastq.gz,Dox,UTR_CDS,2,24h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_Dox_24h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_Dox_24h_R3_R2_001.fastq.gz,Dox,UTR_CDS,3,24h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_24h_R1_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_24h_R1_R2_001.fastq.gz,NoDox,UTR_CDS,1,24h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_24h_R2_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_24h_R2_R2_001.fastq.gz,NoDox,UTR_CDS,2,24h
Lenti_HEK,/path/to/fastqs/Lenti_HEK_NoDox_24h_R3_R1_001.fastq.gz,/path/to/fastqs/Lenti_HEK_NoDox_24h_R3_R2_001.fastq.gz,NoDox,UTR_CDS,3,24h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_3h_R1_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_3h_R1_R2_001.fastq.gz,Dox,UTR_CDS,1,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_3h_R2_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_3h_R2_R2_001.fastq.gz,Dox,UTR_CDS,2,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_3h_R3_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_3h_R3_R2_001.fastq.gz,Dox,UTR_CDS,3,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R1_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R1_R2_001.fastq.gz,NoDox,UTR_CDS,1,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R2_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R2_R2_001.fastq.gz,NoDox,UTR_CDS,2,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R3_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_3h_R3_R2_001.fastq.gz,NoDox,UTR_CDS,3,3h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_8h_R1_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_8h_R1_R2_001.fastq.gz,Dox,UTR_CDS,1,8h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_8h_R2_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_8h_R2_R2_001.fastq.gz,Dox,UTR_CDS,2,8h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_Dox_8h_R3_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_Dox_8h_R3_R2_001.fastq.gz,Dox,UTR_CDS,3,8h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R1_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R1_R2_001.fastq.gz,NoDox,UTR_CDS,1,8h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R2_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R2_R2_001.fastq.gz,NoDox,UTR_CDS,2,8h
IVTMods_HEK,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R3_R1_001.fastq.gz,/path/to/fastqs/IVTMods_HEK_NoDox_8h_R3_R2_001.fastq.gz,NoDox,UTR_CDS,3,8h
